NAMELSAD,LAT,LON,acs2022_5yr_total 65 and older,acs2022_5yr_65_proportion
Census Tract 4432,37.4877231,-121.8955045,720,0.19939075
Census Tract 4042,37.8361052,-122.2344831,782,0.200821777
Census Tract 4003,37.8405841,-122.2544782,916,0.163018331
Census Tract 4279,37.7698045,-122.2582454,736,0.157063594
Census Tract 4215,37.8917124,-122.2594986,1082,0.266240157
Census Tract 4075,37.769515,-122.1976093,372,0.09327984
Census Tract 4514.01,37.6959835,-121.7629309,1027,0.166558547
Census Tract 4431.03,37.5270917,-121.901582,880,0.213333333
Census Tract 4306,37.7041757,-122.0969638,1287,0.206117873
Census Tract 4513,37.6930926,-121.8176792,1004,0.15704677
Census Tract 4083,37.7711951,-122.1646018,627,0.130870382
Census Tract 4506.07,37.6571981,-121.8877285,776,0.149749132
Census Tract 4018,37.8095098,-122.2982554,127,0.074312463
Census Tract 4004,37.848284,-122.2574447,550,0.12856475
Census Tract 4010,37.8312043,-122.2718866,436,0.069459933
Census Tract 4067,37.8033164,-122.2022249,945,0.175650558
Census Tract 4236.01,37.8588898,-122.258719,687,0.250913075
Census Tract 4351.02,37.655131,-122.0456272,813,0.132475151
Census Tract 4312,37.6871184,-122.0834504,1209,0.206138107
Census Tract 4403.32,37.5828284,-122.0858891,410,0.128004995
Census Tract 4044,37.8462275,-122.2149841,1137,0.195260175
Census Tract 4046,37.8199301,-122.1912387,1186,0.240372923
Census Tract 4365,37.6586484,-122.0688949,431,0.081489885
Census Tract 4308,37.6992109,-122.0650346,1036,0.178190574
Census Tract 4011,37.8304839,-122.2638399,421,0.076033953
Census Tract 4012,37.8306009,-122.2579159,328,0.109552438
Census Tract 4013,37.8181386,-122.2667055,522,0.11328125
Census Tract 4029,37.8071852,-122.2667035,608,0.332603939
Census Tract 4419.24,37.5647659,-121.9732496,641,0.089040144
Census Tract 4401,37.6164242,-121.9814908,751,0.282224728
Census Tract 4516.01,37.6683795,-121.7607445,836,0.155766723
Census Tract 4017,37.8211635,-122.3187951,132,0.04029304
Census Tract 4336,37.6860856,-122.1437723,1308,0.223819302
Census Tract 4382.04,37.6270595,-122.0596257,1462,0.229477319
Census Tract 4403.36,37.58102,-122.0173599,682,0.160546139
Census Tract 4419.26,37.540812,-121.97872,308,0.073159145
Census Tract 4423.01,37.527781,-121.9613408,470,0.087085418
Census Tract 4426.01,37.544306,-121.9976615,527,0.134301733
Census Tract 4431.04,37.5313774,-121.9266867,708,0.127178013
Census Tract 4446.01,37.5270567,-122.0162477,755,0.124157211
Census Tract 4507.46,37.6736928,-121.8685808,564,0.17466708
Census Tract 4515.05,37.6894445,-121.7246715,522,0.165242165
Census Tract 9832,37.7959455,-122.277268,88,0.098214286
Census Tract 4515.06,37.6833516,-121.7291862,353,0.099492672
Census Tract 4517.04,37.6621234,-121.7900629,828,0.191666667
Census Tract 4059.02,37.7909447,-122.240953,305,0.097195666
Census Tract 4105,37.8100772,-122.2889321,317,0.102888673
Census Tract 4251.04,37.8326584,-122.2833245,618,0.153961136
Census Tract 4331.04,37.7142641,-122.1469937,814,0.185084129
Census Tract 4403.33,37.6053298,-122.0738277,687,0.251464129
